smiles,molecular_weight,num_h_donors,num_h_acceptors,num_rotatable_bonds,logp,pIC50
ClC1=CC(NC(=O)CSC2=NC=CC(=N2)C2=CSC(=N2)C2=CC=CC=C2)=CC(Cl)=C1,473.4100000000001,1,6,6,6.304700000000003,-0.477121255
CN1N=C(C=C1C(F)(F)F)C1=CC=C(S1)C1=CC=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=N1,509.9660000000002,1,7,6,6.008600000000003,-1.0
CSC1=C(C(C)=C(S1)C1=NC(C)=CS1)C1=CC=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=N1,519.1420000000002,1,8,7,7.051540000000005,-1.041392685
CC1=NC(=CS1)C1=NC(=CS1)C1=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=NC=C1,460.0090000000002,1,8,6,5.416220000000003,-1.146128036
ClC1=CC=C(NC(=O)CSC2=NC=CC(=N2)C2=CC(=NO2)C2=CC=CC=C2)C=C1,422.8970000000001,1,6,6,5.182800000000003,-1.176091259
FC(F)(F)C1=CC=C(NC(=O)CSC2=NC(=CC=N2)C2=CC(=NO2)C2=CC=C(Cl)C=C2Cl)C=C1,525.3390000000002,1,6,6,6.855000000000002,-1.176091259
ClC1=CC=C(NC(=O)CSC2=NC=CC(=N2)C2=CC(=NO2)C2=C(Cl)C=CC=C2)C=C1,457.3420000000001,1,6,6,5.8362000000000025,-1.176091259
CCCC1=CC(Cl)=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=N1,356.27799999999996,1,4,6,4.466700000000003,-1.477121255
COC1=CC(=CC=C1)C1=C(C#N)C(=O)NC(SCC(=O)NC2=CC=C(C=C2)S(N)(=O)=O)=N1,471.5200000000002,3,8,7,1.6953799999999997,-1.602059991
CC(C)C1=CC=C(NC(=O)CSC2=NC(=CC=N2)C2=CC=CS2)C=C1,369.51500000000004,1,5,6,5.059300000000004,-1.602059991
COC1=C(OC)C=C(NC(=O)CSC2=NC(O)=CC(=N2)C2=CC=CC=C2)C=C1,397.4560000000001,2,7,7,3.5972000000000017,-1.653212514
COC1=CC=CC(=C1)C1=C(C#N)C(=O)NC(SCC(=O)NC2=CC=C(C=C2)C(C)=O)=N1,434.4770000000002,2,7,7,3.250580000000001,-1.77815125
CCC(SC1=NC(C2=CC=CC(OC)=C2)=C(C#N)C(=O)N1)C(=O)NC1=CC=CC(=C1)C(C)=O,462.5310000000002,2,7,8,4.029180000000002,-1.77815125
CC1=CC(=O)NC(SCC(=O)NC2=C(OC3=CC=CC=C3)C=CC(Cl)=C2)=N1,401.87500000000006,2,5,6,4.254820000000003,-2.0
CC1=CC(O)=NC(SCC(=O)NC2=CC=C(OC3=CC=C(Cl)C=C3)C=C2)=N1,401.87500000000006,2,6,6,4.667120000000002,-2.301029996
CC(C)C1=CC=C(NC(=O)CSC2=NC=CC(=N2)C2=CSC(COC3=C(Cl)C=CC=C3)=N2)C=C1,511.0720000000002,1,7,9,6.686700000000005,-2.301029996
COC(OC)C1=CC(O)=NC(SCC(=O)NC2=CC=C(C=C2)C(F)(F)F)=N1,403.38200000000006,2,7,7,3.223200000000001,-2.301029996
CCCCC1=CC=C(NC(=O)CSC2=NC(C3CCCCC3)=C(C#N)C(=O)N2)C(C)=C1,438.5970000000003,2,5,8,5.071100000000004,-2.301029996
FC(F)(F)C1=CC=CC(NC(=O)CSC2=NC(C3=CC=CC=C3)=C(C#N)C(=O)N2)=C1,430.4110000000001,2,5,5,4.058180000000002,-2.301029996
CCOC(=O)C1=CN=C(SCC(=O)NC2=CC=C(C=C2)[N+]([O-])=O)N=C1N,377.3820000000001,2,9,7,1.8744999999999998,-2.397940009
CCOC1=CC=C(C=C1)N1C(=O)CC(SC2=NC(C)=CC(C)=N2)C1=O,357.4350000000001,0,6,5,2.916340000000001,-2.477121255
CC(SC1=NC(C2=CC=CC=C2)=C(C#N)C(=O)N1)C(=O)NC1=CC=C(Cl)C=C1,410.8860000000001,2,5,5,4.081280000000002,-2.477121255
CC(C)(C)C1=CC=C(NC(=O)CSC2=NC(C3CCCCC3)=C(C#N)C(=O)N2)C=C1,424.5700000000003,2,5,5,4.717580000000003,-2.544068044
COC1=CC=C(C=C1)C1=NC(SCC(=O)NC2=CC=C(C=C2)C(C)C)=NC=C1,393.51200000000006,1,5,7,5.006400000000004,-2.602059991
CC1=NC(SCC(=O)NC2=CC=C(Cl)C=C2F)=NC(=C1)C(F)(F)F,379.766,1,4,4,4.327120000000002,-2.698970004
CC1=COC2=C1C(=O)C(=O)C1=C3CCCC(C)(CO)C3=CC=C21,310.349,1,4,1,3.2203200000000027,-1.394451681
COC(=O)C1(C)CCCC2=C3C(=O)C(=O)C4=C(OC=C4C)C3=CC=C12,338.35900000000004,0,5,1,3.4010200000000026,-1.324282455
CC1COC2=C1C(=O)C(=O)C1=C3CCCC(C)(C)C3=CC=C21,296.366,0,3,0,3.4433000000000025,-2.35545152
CC1=COC2=C1C(=O)C(=O)C1=C2C=CC2=C(C)C=CC=C12,276.291,0,3,0,4.095640000000003,-1.587710965
CC1COC2=C1C(=O)C(=O)C1=C2C=CC2=C(C)C=CC=C12,278.307,0,3,0,3.2910200000000023,-1.158362492
CC(C)C1=CC2=CC=C3C(CCCC3(C)C)=C2C(=O)C1=O,282.3829999999999,0,2,1,4.105300000000003,-1.324282455
CC1=C(Cl)C=C(Cl)C(=C1)S(=O)(=O)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,459.1850000000001,0,6,4,4.969820000000002,0.522878745
ClC(Cl)=C(Cl)C(=O)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC(=O)C(Cl)=C(Cl)Cl)C=C1,565.0410000000003,0,6,6,6.101200000000003,0.045757491
